■行
作立下算
佳例
使
使札
使用
使者屋
例歳
供
供之人々
供人数
供付
供侍
供揃
供料
供物
供番
供米
供船
供達
供養
依願
便
便利
修理
修羅木
修行
修覆
修覆中
修造
俵
借
借入
借出し
借夫
借方
借方銀
借状
借用
借請
借金
借銀
借銀方
借銀筋
倹約
停止
停止中
停止明
停止触
側
側免
側達
側野
備物
備立方
備米
催
催促
像
像＊
元服
先代
先例
先山
先祖
先立
先納
先触
先頭
免
免召
免地
免地願
免姓名
免居
免度願
免札
免状
兎
入
入事
入内
入学式
入寂
入来
入棺
入水
入注進
入津
入湊
入湯
入湯仰
入湯来
入狩
入籠
入輿
入部
入門
入院
全快
八木
公事
公儀
公夜
公家衆
公役
公役除
公訴
公辺
公辺月次
公金
公金事
公金筋
兵学
兵法
兵法指南
兵粮
兵試
其外様
兼勤
兼合
兼役
内々
内々伺
内分
内定
内心
内意
内慮伺
内提重
内書
内様
内済願
内義
内証
内談
内達
内鎖
内雇
再勤
再建
再発
再見
写
冥加銀
冷飯
処弟
処添
凶年
出
出むかひ
出世
出丸
出仕
出仕懸
出会
出供
出候事
出入
出勤
出坂
出奔
出家
出島中
出崎
出嶋中
出帆
出席
出府
出座
出座無
出張
出張無
出役
出情
出懸
出方帳
出書
出来
出棺
出殿
出水
出火
出物
出狩
出猟
出生
出産
出立
出立候
出籠
出米
出米達
出精
出船
出訴
出足
出陣
刃傷
分
分家
分髪
切
切地
切害
切府
切戸場
切手
切支丹
切渡
切米
切組せ
初
初て
初て之
初入
初剃
初午
初御参会
初御生日
初御誕生日
初浜
初生
初穂
初解
初詣
判物
判突
判鑑
別勤
別当給
利徳
到来
到来物
到着
制札
制禁
券
券状
刺
刻限
前断
前達
前願
前髪
前髪取
前髪執
割
割振
功者
加判
加勢
加増
加役
加扶持
加持
加決
加減
加米
助力
助力願
助成
助言
助詞
労倦
動員
勘定所
務
務使者
勝
勝不
勝手
勝手次第
勤
勤兼
勤居
勤振
勤無
勧化
勧化願
勧進相撲
匕
化鞍田
北之御屋形
北山御狩
北東風
北浦石火矢例
医学
医書
医術
十三日盆会
十八日祭
半途
卒去
南
単物
博奕
占
印
印写
印形
印書
厄
厄入
厄年
厄晴
厄除
去国地
参
参り
参上
参会
参会右
参会日
参勤
参勤前
参勤船
参堂
参宮
参寺
参府
参懸
参着
参知
参詣
参銀
双方
反米
反米筋
取かはし
取上
取仕廻
取備
取合
取役
取戻
取持
取替
取極
取次
取次勤
取立
取納
取納用
取組
取締
取計
取計向
取除
受帳
受役所
受用
受送り
叙四位
叙爵
口上
口上書
口論
口達
口達書
古松尾丸
古説
召
召呼
召席
召廻
召成
召抱
召捕
召置
召船
召連
召連度
召麻
叮嚀
台場
台弓
台所
台所薪
右体之儀
合力
合力米
合力金
合印
合所
合書
合越
合金
吉初
吉左右
吊
吊料
同唱
同所便
同篇
同道
同＊
名之義
名付
名代割
名代無
名前
名千
名尋
名式部
名月
名目
名護屋渡
名跡
向
向合
向後
向月
吟味
吟味書
吹聴
呑湯
周忌
呵
呵捨
呵置
呼之謂
呼出
命日
命日講
和尚
品々
品無
品物
品目
員数
唐かね道中時計
唐本
唐船
唐金香爐
唱経
商売
問合
問合せ
啓
善根
喜義
喧嘩
営
嘉例
嘉行
囃
囃子
四ヶ村
四座
四方
回忌
国
国中
国住宅
国住居
国住居願
国印
国退
土井筋
土産
土産物
土用入
土蔵
在国
在府
在所
在着
地元
地床
地方
地旅
地書
地米
地落
地行
地調子
地鎮祭
坪数
城
城下
城内
執行
執行願
堀
堀端
堂
堂参
堂屋
堅固
堅固相勤
堪忍
報
場所
塔
塔前
塩
塩田
塩硝土
塩硝焚
塩貝
塩鯛
塩鳥
塩鴨
塩鶴
境内
境塚
境川
境為
境目
境築
墓参
墓行
増
増事
増地
売入
売払
売方
売渡
売立
夏鳥
夕刻
外向
外御居間
外控
外方
外治
外科
夜詰
大なり
大儀
大切
大小
大山留
大峯
大工
大庄屋宅
大役
大損毛
大早
大旱
大明神
大潮
大火
大病
大石新蔭流釼術
大石新願流釼術
大砲
大破
大筒
大般若
大見分
大触
大雨
大風
大風多
大風雨
大鷹
天山丸
天火
天火発
太儀
太義
太鼓
夫
夫料米
夫留
失念
失物
夷人
奉公
奉公前
奉加
奉札
奉納
奉納金
奉願
奏者
奥向
奥御詰
女夫石
女子
好儀
妊娠
妊懐
妊身
妻子
始夜
始末
姓名
委細
姫就
婚姻
婚礼
嫁娵
嫁娶
嫌年
子孫
子様
存世
存内
存寄
存寄書
存生
孝心者
孝行者
孝養
学文所
学館
宅
守
守作
守状
安全
安座
安産
安置
宗門
官位
定
定厄年
定式
定書
定米
宛
宜者
実用
実用無
客
客取
客屋
客殿
宣下
室
宮座
宰領
家
家ニ付
家中
家中並
家作
家内
家屋敷
家広間
家来
家業
家産
家督
家督済
家続
家老屋敷
家財
容
宿
宿札
宿次
宿願
寄付
寄合
寄宿
寄親宅
寄進
寄附
寄附状
密通
寒中
寒中御尋
寒中御見廻
寒御見廻
寒気
寺
寺々
寺仏参
寺参詣
寺号
寺号引
寺号改
寺地
寺用
寺納
寺納物
寺院
寺領
対買取
対面
対面所
対顔
寿
射術
尊躰
尊骸
尋
尋前
導師
小休
小休所
小児
小児家
小奉行達
小屋
小松ノ間
小物
小皷
小童
小笠原流
小船
小袖
小路
小路廻
小道具
小麦蒔
小鼓
尚又
尾長鳥
局
居
居付
居宅
居屋敷
居籠
居間
届
届書
屋代
屋形
屋敷
屋敷引料
屋敷移
屏風
屯所
山
山たをれ
山人形
山付
山付子猪
山代行
山引
山御狩
山挽
山曳
山火
山狩
山祭
山通
山鉢木
岡之前
岩蔵狂言
島々
崎中
崩御
嶋縄
川々
川土居山留
川御狩
川狩
川筋
川簗
巡見
巡見中
差ちがへ
差上
差下
差出
差出来
差分
差合
差図
差廻
差支
差次
差次願
差登
差立
差繰
差置
差許
差越
差送
差送り
差通
差配
差重
差閊
已後
巻せんへひ
巻上下
巻物
市くじ
市中
布施
師匠
師範
席
席書詩文
帯
帯刀
帯初
帯奉納
帯解
帰
帰事
帰京
帰便
帰参
帰国
帰坂
帰城
帰多
帰宅
帰山
帰府
帰懸
帰着
帰跡
帰路
帰郷
帰郷便
帰館
帳
帳書
帳迄
帷子
常住浚
常灯明
常灯明料
幕
干鰯
干鱈
平【兵】法
平元服
平愈
平方
平法
平生
平産
年号
年回
年夜御祝
年始合
年忌
年忘
年番
年相撲
年祭
年籠
年行司代
年譜
年貢
年賀
年越
年限
年頭
年餅
幼少
幼年
広式
広間
広間順番
庄屋元
床揚
床飾
庖丁
度
度願
座椅子
座犬
座籠
座頭
庭つゝじ
庭前
庭掃除
庭木
庭石
廉々
廟所
延引
延米
建方
建立
廻
廻札
廻礼
廻米
廻米便
廻達
弁当
弁当料
弁財地
式台
式年
式日
弐人扶持
弐番手
弓
弓術
弔札
引かね
引せ
引入
引出
引出物
引取
引取度
引受
引合
引寺
引導
引廻
引移
引続
引越
引違
張付
張紙
当人
当人宅
当住
当分
当地
当所
当時
当病
役
役中
役人割
役人小屋
役人屋敷
役付
役備金
役割
役已来
役所
役方
役方流
役替
役流
役為
役相
役筋
役米
役義
役義流
役者
役達
彼是
往中
往来
往来切手
往来札
往遠
往還
待
後任
御下
御丸
御付
御代始
御免
御内
御制禁
御意
御成
御用屋敷
御用承
御用捨
御用河
御用滞留
御用炭
御用炭木
御用無
御用状
御用番
御用簡
御用翰
御用荷物
御用酒屋
御用金
御用銀
御用長
御直
御着
御知
御級三宝院御門跡
御聞忌中
御膳部
御覧
御調御用
御身
御通
御重
徳分地
心得
心得達
心懸
心遣
忌
忌中
忌懸り
忌日
忌明
忌明キ
忌服
忌眼
忍
応対
応接
快
快座候
快方
快然
念仏堂
思召
急
急々
急便
急変
急用
急病
急症
怪我
恐入
恒例
恩銀
息
息女
悔
悔詞
悔飛札
悪
悪所
悪敷
惣
惣中
惣人数
惣座
惣御家中
惣日
惣触
惣領
愧
慎
慮伺
慰中
懈怠
懐胎
懸り
懸合
懸合状
懸物
成地
成就
成物
成願済
戦死
戸田流釼術
所
所払
所替
所望
扇子
手伝
手元
手分
手前
手助
手助之人々
手当
手当之振
手形
手数
手本
手樽
手段
手洗
手洗湯
手紙
手続
手続書
手績書
手許
手配
手頭
打
打おろし
打出
打卸
打寄
打擲
打替
打東筋
打留
打立
打込
打追
打重
払
払方
払替
払物代
扶助
扶持
扶持米
承分
承知
承置
抜書
抜露
披
披露
招請
拝仕
拝借
拝借金
拝借銀
拝借願
拝塔
拝殿
拝見
拝領
拝領屋敷
拝領物
拝領等
拝領達
拝領金
拝領願
拵役
持仏堂
持出
持参
持参物
持帰
持恩
持病
持筒
持越
持越事
指入
指南
指物竿
挟箱棒
挨拶
振売
振舞
捨子
捨申
掃除
掘さらへ
掛合状
掛替
掛物
掛硯
探促
控
控置
揃敷
提重
揚屋
握食
損宅
損者
搦
摂備
摩利支天
支
支配
改
改元
改判
改名
改役
改葬
改達
改頭人
放出
放鷹
政務
故障
数人
数年
整
整相
文字
文学
文庫
文武
文箱
文通
斎
斎料
斎義銀
料
料理
料理金
料理間
料銀
料銀米
断
断中
断付
断候
断免
断被
新からみ
新かゝみ
新ニ
新井樋
新内
新古
新堤
新堤床
新堤費
新宅
新御家作
新搦
新知
新規
新道建
方角御防
施入
施物
施用銀
施米
施薬
施餓鬼
旅中
旅行
旅飯
日伺
日切
日割
日勤
日取
日向
日延
日延願
日待
日数
日柄
日目
日迄
日限
旧記
早稲
早稲米
旱続
旱魃
昆那室奥之間
昇三流
昇進
明き
明所
明神
昏礼
星供
星違
昼休
昼飯
時分
時服
時疫
時鐘
普請
普請中
普請人
普請所
普請願
暇
暇乞
暇日向
暇為
暇願
暑中
暑中御見廻
暑中御見舞
暑気
暑気御見舞
暫時
書
書事
書付
書付写
書写
書加
書取
書定相
書宣
書札
書様
書物
書状
書翰
書載
書附
書院
曽略
替
替合
替地
最前
最早
月並講釈
月代
月待
月次
月番
月額
有馬
服忌
朝鮮人
朦中
朦気
木像
木工
木御印
木願
未満
末
末断
末期願
本丸
本堂
本妻
本家
本方
本方触
本生
本院
本陣
札
札事
札厘子
札大門坊
札書翰
杉
材木
材木小屋
村名唱
村木
杖鎗
来
来朝
来状
杬
東筋
松
松尾丸
松木
松油
松餝雛祭
板書替
板札
林
果
枝柿
格
格合
格護
案内
案文
桜本木
桟式
桟敷
梅徳丸
梅致
條目
棒鞘
棚
棟上
棺
植付時
椎茸
検約
検者割
極々
極相
楽人
構
槍術
様体
様子
様躰
樟脳
横目
横語
横領者
樫
樹木
樽代
樽肴
樽重
橋
橋一件
橋幅尺
機嫌
機嫌伺
欠
欠乏品
欠所
欠番
次席
次跡式
次達
次酒
次願
歌舞妓
歓
歓式
止宿
正一位社
正当
正当忌
正当日
正忌日
正迁宮
正遷宮
此度
此末
武具
武具初
武神
武芸
武衛流
歩行
歳
歳暮
歳越
死亡
死体
死去
死期印封願
死骸
段達
殺害
殺生
殺生禁断
殿帰
母子
母方
毛髪
氏子
民取
気
気体
気分
気味
気筋
気躰
水
水吐
水損
水損之難
水災
水留
水道
水雨
氷砂糖
永代
汐土居
江府勤
江筋
江達
沐浴
沙汰
河口
河口さし人
油部屋
沼田
泊
法事
法事料
法会
法体
法像
法名
法度
法度場
法度山
法式
法楽
法華千部
波庵門
波当
波当土居
注連
注連引
注連本
注進
注進状
洋中
津出
津固
津堅
洪水
洪水用
流
流兵法
流行
流行病
流馬術
浚
浚出
浮
浮立
海陸
涼
涼越
清水
済
済候
減人
減人参着
減少
渡
渡御目
渡方
渡来
渡様
渡海
渡相成候
湯
湯懸
湯治
満水
満水留
溺死
溺死之者
滞在
滞坂
滞塚
滞府
滞座
滞留
滞船
漁
漁出
漁師網
漆
演達
潮入
灌頂
火あはせ
火事
火入
火合
火晴
火樽
火消
火用心
火移
火術
火除
火除祈祷
火難除
灯爐
灰寄
灸治
炭
炭焼
点合
点合所
為川御狩
為弔料
為替
烽火
無人
無住
無御構
無沙汰
無用
無礼
無調法
無足料
然由
焼亡
焼失
焼物
焼香
煎茶
燈炉
燈爐
父子
父隠居
牌前
牛津泊
牛王
牢人
牢人中
牢人居
物
物入
物取
物忌
物成
物成筋
物数
物書
物等
犬
犬仕飼
状
狂能
狂言
狩
狩倉
狩倉山
狩出
狩山
狩犬
狩祭
狸
猟
猟猪
猟祭
猟雁
猟願
猩々緋
猪
猪当
猪鹿当
献上
献上仕
献上伺
献上物
献地
献建
献建事
献木
献金
猶予
獅子
獅子舞
獲物
玄猪
玄関
玄関前
玉かへ
玉なし
玉なし筒
玉なし銃
玉入鉄砲
玉無筒
玉無鉄砲
玉薬小屋
現米
瓜
生害
生日
生日御祝
生肉
生身玉
生類御あはれミ
産
産しらせ
産一通
産催
産前
産名
産場出
産婦
産屋入
産後
産所
産所入
産方
産歓
産注進
産衣
産間
用
用ニ
用事
用地
用意
用意物
用承
用捨
用捨右
用木
用水
用炭
用炭木
用炭木印
用無
用状
用番
用筋
用箱
用簡
用翰
用荷物
用談
用達
用酒屋
用金
用銀
用長
用長刀
田
田ひらき
田作
田名代
田拵
田神事
田開
申上
申付
申来
申来ル
申来事
申来日数
申渡
申立
申聞
申談
男子
町中
町人
町人共
町便
町屋
町方
画事
留
留守
留滞
留滞何
留置
畝数
畝歩
畠開
畢て
略供
番
番人
番刀
番割
番役
番所
番料
番方
番相
番笠
番等
番組
番達
番馬
異国船
異変
異船
異見
疎遠
疝
疝使者
疝祈禱
疫病
疱瘡
疱瘡交
疱瘡除
病
病中
病人
病入
病死
病気
病身
病躰
痘方
痘瘡
痛
痛所
痛草臥
痲疹
瘧疾
療治
発足
発輿
発駕
登
登り
登坂
登山
登府
白さらし
白山八幡宮
白帆
白帆船
白洲
白洲出
白灰
白状
白米
白銀
白鳥
白麻
百ヶ日
百五十年御忌
百姓共
百年御忌
百座
百日
百日之祝
百日祝
皆済
皮多
盃
盆
盆会
盆供
盗
盗人
盗品
盞蓋
目
目代
目代屋敷
目安
目料理
目渡
目見
目見席
目見願
目覚
目通相
目録
目附
目附け
目附助
盲人
直書
直段
直礼
直答
直達
直達謂
相伝
相伴
相侍
相分
相勤
相始
相定
相対
相対月代
相尋
相建度
相当
相応
相手
相括り
相損
相撲
相撲願
相整
相果
相果居
相止
相済
相渡居
相澄
相省
相究
相立
相糺
相納
相続
相続講
相聞
相詰
相談
相談人
相達
相頼来
相願
眉直
看病
真照庵
真瓜
真田流
真田流相図
着
着到
着坂
着城
着岸
着帯
着府
着礼
着祝
着館
矢口
知
知らせ
知入
知合
知書状
知行
知行所
石
石塔
石油
石火矢
石階建立
石高
砥石
破壊
破損
破船
硯箱
磧留
示談
礼
礼使
礼使者
礼供物
礼奉公
礼容
礼帳
礼廻
礼拝
礼方
礼献上
礼祝物
礼銀
礼銀事
社参
社参行列
社納
祇園
祇園会
祈擣
祈祷
祈祷札
祈禱
祓
祓修行
祗園会
祝
祝事
祝儀
祝心
祝明
祝札
祝物
祝物到来
祝献上
祝益
祝答
祝節使者
祝義
祝義帳
祝義礼
祝膳
祝言
祝詞
祝詰中
祝詰合
祝足軽
祝跡方
祝頂戴
祝飛札
神事
神内
神前
神妙
神楽
神楽料
神蔵
神野御茶屋
祥当日
祥忌日
祭
祭礼
禁断
禁止
禁酒
私銀
私領
科
秘蔵
称号
称月
移初
移夫
移徒
移徙
移徙祝
稲荷
稲荷不動
稲荷祭
稲荷祭礼
稽古
稽古人中
稽古打
積
積込
積込手形
穏便
穏便中
穏密
穏祝物
穢多
究
究中
究中披露
究事
究書
究相
究相澄
空敷帰
立
立会
立候
立寄
立山
立府
立替
立直
立着
立聞銀
立願
立願料
童共
童名
竹曲瓶焼
竹木
竹植
笑止
笛
筆取
筆紙墨料
筆道
筋鳥
筒
筒打
答
答事
答礼
筧
算用
算術
算表
箸
箸初
節句
節通
節酒食
築
築かセ
築切
築山
簗
簡略
米
米取納
米直段
米船
精勤
精進
精進場
精進日
糺
糺書
系図
紅毛人
納
納帳
納戸
納戸内
納経
納経寺々
納銀
紐解
紗綾
紙
紙すき
紛失
素麫
細工
細物
終日
組付組替
組入
組打
組替
組替達
組番
結納
結願
給々
給地
絵図
継目
続
網猟
綿入御羽織
緑刈
締場
締場御請
練兵
縁柄
縁済
縁組
縁組済
縁談
縁辺
縁辺済
縄渡
縊死
繁用
繰芝居
罪
罪科
置
置候処
置物
罰帳
罷下
罷出
罷帰
罷越
罷越居
罷越度
美麗
義帳
義弥
義達
羽二重
羽織
羽鳥打
翁船
老
老人
老年
老薬
耕作
聖堂
聖堂祭
聖霊
聞
聞召
聞合
聞届
聞次
聞番
聴候
聴済
聴聞
肩
肩ためし
肩だめし
肴
胚胎
能
能七
能子
能此
能相
能脇
能道具
脇指
脈
脈相伺
脚力
腐痛
腫気
腫物
腫物気
腰物
膳
膳建
膳方
膳立
膳部
自分
自分支配
自分銀
自宅
自害
自殺
自然出火
自猟雁
至当
興行
舞台
舟
般若寺
舸子
船
船ちん
船上山不動会
船帆程
芝居
芦買料
花火
花見
若子
若殿様
英吉利船
茶
茶口切
茶壺
茶壺取
茶屋
茶料
茶湯
茶湯料
茶講
茶道
茶間
茸
草り取
草切場
草履
草臥
荷物
菓子
菜料
菩提
萱伐夫丸
落米
落髪願
葬
葬式
葬所
葬礼
葬送
葬送方
葺替
蒙仰
蒸気船
蓋方
蔵
蔵人
蔵入
蔵前
蔵床
蔵究
蔵米
薨
薨去
薨御
薪
薪印
薬
薬合
薬師如来
薬料
薬種
蘇民
蘇民取
蘭人
虫ふせぎ
虫入
虫干
蚊帳
蝋はじ植地
蟄居
血忌
行
行事
行列
行水
行法
行灯
行規
行規狩
衣装
衣装定
袋
袖留
被下
被下物
袷
裁許
裁許書
裏川浚
裏方
褒美
西丸便
西丸出
西丸勤
西国筋
西岡往
西御丸堅
覆中
見せ戸
見世
見世さし
見分
見分達
見合
見届
見廻
見役
見物
見知
見立
見繕
見聞
見舞
見舞い
見送
規式
覚内
覚書
覧
覧越
親類付
観音
観音会
角ためし
角助
触
触出
触状
触給
触落
触達
言葉
計
計体
討果
訳
訴状
訴訟
註進
証文
評定所
詞
詞計
試
試業
詮議
詰代
詰合
詰合之人数
詰合之者
詰居
認様
誓紙
誓詞
誕生
誕生日
誘役
読達
調
調伏
調印
調子
調子用
調用
調練
談此
請
請取
請待
請惣代
請西丸
請靱負
諷経
諸口積
諸寺
諸寺々
諸寺社
諸役人
諸社
諸道具
諸願
諸願御礼
講訳
講談
講釈
謝礼
謡
謡初
警固
譲り
護摩
豆打
豆腐屋
買入
買取
買揚
買料
貸方
賀
賀行
賄夫丸
賄料
賄料米
賢慮
賤別
質入
贈号
贈物
贈答
赤白
赤白米
赤石
赤米
赤籾
赦免
赦免者
越
越中
足痛
跡山
跡式
跡方
跡目
跡祓
踊
身
軍学丁見
軍書
転住
転城
転変
転役退役
転除
軽安
軽罪
載
輩
輿初
轟木通
辻番達
迁宮
迎
迎使者
迎侍
迎入
迎出立
迎歩行
迎船
迎見立
近宿
近年
近辺
返上
返書
返礼
返礼物
返答
返答書
返簡
返納
返翰
追悼
追放
追服
追死
追腹
追腹子孫
追討
追除
退役
送
送金
通
通り
通事
通伺
通懸
通手形
通用
通葬
通行
通路
通路極
通路済
通達
逝去
逢
連判
連枝
進
進上
進上物
進上物計
進物
進物品
進納
逹
逼塞
逼塞内
遁
遅刻
遅着
遊
遊出
遊学
遊山
遊歩
遊猟
運上
運上銀
過地
過銀
道中
道中付
道乗
道具
道広
道心者
道筋
達
達出
達出書
達帳
達手紙
達書
達書写
達込
違目
遠丁場
遠慮
遠見方
遣
遣捨
遣用
遷化之格
遷宮
遺体
遺書
遺物
遺言
遺躰
遺骨
遺髪
郡払
郡替
部屋
部屋住
部屋住料
郷
郷中人駄
郷内
郷内中
郷夫
郷夫留
郷廻
郷村御取締達帳
郷蔵
郷鳥
配分
配分所
配札
酒
酒売
酒料
酒殿売
酒狂
酒肴
酒食
酒食等
酔狂
重
重病
重科者
野地
野婦女
野焼
野菜
野菜代
野菜料
金
金事
金子
金山掘
金毘羅
金銀
釣合
釣張り
釼術
鉄砲
鉄砲射場
鉄砲鳥
鉤合
鉤香爐
銀
銀子
銀札替
銀筋
銀米
銀納達
銃陣
銃陣薬込
銘
銘々
銘々名代
銘書
銚子
銭
鋳物
錦嚢秘録
鍋島氏
鎌宝蔵院流
鎖口
鎖口往
鎗為持
鎧
鎧召物
鎧祝
鎮座
鐘
鐘撞
鐘楼
鐙
長刀
長寿
長屋
長崎巡見
長崎調
長持棒
長髪
門
門内
門加番
門客取
門屋敷
門建
門松
門棟
門跡
閉戸
閉門
閉門等
閊
開
開地
開基
開堂
開山
開山堂
開帳
開白
開講
閑斎
間内
間合
間敷
間落
間迦
間違
関之渡
関所
関札
関札打
防
防場
阿蘭陀人
阿蘭陀船
附人
附出
附副
附副罷帰
附女中
附属
附紙
附達
降入
院号
陣
陣場
陣場見聞
陣貝
除夜
除川磧留
除米
除見
陶器
陸
陸使
階番
障
隠宅
隠居
隠居いたし
隠居所
隠居料
隠居願
隣国
隼
雁
雁御打
雅楽
集
雇
雉子
雉子待
雑煮
難風
雨乞
雨乞料
雨天
雨請
雪天
雲雀
零落
雷
雷多
雷除
霊前
霊屋
露払
青銅
青鷺
非番
面
面々
面談
鞍
鞍皆具
鞍鐙
音楽
音物
頂戴
頃合達
順快
順達
預
預願
預願済
頓死
領中
領内
領分
領御寺
頭々
頭人
頭取達
頼
頼夫料
額
願
願事
願入
願出
願成就
願文
願書
願書写
願次
願済
願立
願謂
願込
類忌
類焼
類等
風呂
風気
飛札
飛簡
飢者
飯料
飯米
飼
飼鳥
餅
餅披
養子
養子済
養済
養生
養生仕度
餌
餓死人
餞別
館下
館内
饗応
首くゝり
首尾
首尾克
首尾好
首縊
首途
香典
馬
馬場家続
馬美
馬船
馬術
馳走
馳走夫
馳走米
駈
駈込
駕籠
驚風
骨
高宮嶋
高札
髪
髪執
髪置
鬼豆はやし
鬼豆打
魂屋
魂屋取立
魂屋普請
魂屋納
魯人
魯西亜人
魯西亜船
鮎
鮒
鮭
鰤
鳥
鳥居
鳥御打
鳥打
鳥目
鴨打
鴫
鶉
鶏合
鶴
鷹
鷹取
鷹場
鷹屋
鷹据
鷹据習
鷹野
鷹鳥
鹿
鹿倉調子
鹿当
麦作
麻
麻疹
＊払
𠝏城
