いたし
差遣候事
帰候事
帰着之事
并
并兼
幷
度旨
度願済之事
引候事
弥
当人
当分
当地
当所
当日
当月
当来
当町
役々
役之事
役被差逃
彼是
後例
従
御
御しらせ之事
御やらひ之事
御上之事
御事
御仕成之事
御代参事
御作らせ被成候事
御免之事
御免事
御入被成事
御出之事
御出事
御出被成候
御到来事
御加増之事
御参詣事
御同人
御同人様
御届之事
御帰乃事
御方
御方々
御方之事
御日限之事
御暇願之事
御札事
御燃被成候ニ付
御目渡之事
御礼之事
御社参之事
御祈祷事
御祝事
御祝物事
御祝物被進事
御穏便之事
御穏便触事
御詞計之事
御詣事
御調子之事
御請之事
御越之事
御越事
御逢之事
御進物之事
御進物事
御達之事
御願之事
思召有之
恒例
懸り
懸合之事
所
所々
扨
扨又
抔之様子
披遣候事
拝借事
拝見之事
拝領之事
拝領事
拝領等之事
拝領訳之事
持越候事
挽据候事
故
方々
於
旁
是
是又
書上相成候
書様之事
書載
有
有之
有之事
有之候事
有之候所
有之居候様
有之節
来ル
極々差支ニ付
様
様達
次之事
次第
此御方
此節
此間
此間之通
段
段々
段之事
段相知候段
殿
毎日
毎月
江
泊之事
流之事
済之事
済事
為
為御知
為御知之事
為心得
為知申来候事
焉
無之
無之事
無之候事
無之候付
無之哉
無之由
無之由ニて
無之由之事
無之被参候ニ付
無別条相済事
無条別
物
物之事
献上事
猶又
甚
申上候事
申上有之事
申付候
申付候由
申候事
申来
申来ニ付
申来ル
申来事
申来候
申来候事
申来候付
申越事
申越候事
申達候儀
直
相
相仕廻候事
相付候
相伺候処
相勤候事
相始候事
相懸候事
相成
相成候
相成候事
相成候付
相成候旨
相成候様
相成候段達之事
相成居候処
相成義候
相改候用
相整置候段
相替義無之ニ付て
相極候事
相止候事
相浮候付
相済候
相済候由
相渡候事
相立候付
相納候様
相聞候付
相達之段
相達候事
砌
破出訴
示談之事
等
筋目
精出候
罷出事
罷出候事
罷出候様
罷出様達之事
罷在候所
罷帰候事
罷帰候処
罷越候
罷越候事
罷越候付
罷越候節
罷越居
義
者之事
自
致
致仰上候旨
致焼失候段
蒙仰候付
被
被下之候事
被下候様
被下度旨ニ付
被下物之事
被下相極候事
被下置候
被下置候事
被仰上候得とも
被仰上候段
被仰上候由
被仰付
被仰付事
被仰付候
被仰付候事
被仰付候処
被仰付候様
被仰付候段
被仰付度
被仰付置
被仰付置候
被仰付置候処
被仰候事
被仰出
被仰出事
被仰出候事
被仰出候段
被仰出候由
被仰渡
被仰渡候処
被仰渡候條々之事
被仰聞候事
被召上
被召上由
被召呼
被召呼候事
被召置候事
被差上候付
被差候段
被差出候
被差出書付事
被差初候付
被差回之事
被差在候事
被差延置
被差立候事
被差越候
被差越候事
被差越候付
被差越候様
被差越候物事
被差越候由
被差越御達之事
被差返
被差遣候
被思召付候義
被思召候
被思召様
被成事
被成候事
被成候末
被成候様
被成候段
被成御免候事
被成御出候
被成御座ニ付
被指出候事
被指出物之事
被指立事
被指越事
被改下
被改下候事
被書物事
被渡
被渡御目候
被為入
被為召候事
被為召候付
被為懸候旨
被為成
被為拝領事
被為拝領候事
被為拝領候旨
被為掛候
被為済候付
被為請
被為請之候事
被為請候
被献物
被申上候事
被相付
被相付事
被相付候
被相加
被相及
被相叶候事
被相尋候事
被相延候事
被相廻
被相復
被相捨候
被相改
被相改置候
被相整
被相整候
被相整候事
被相止
被相止候
被相添
被相減
被相減候事
被相減候付
被相渡候段
被相渡置候
被相滅
被相直候事
被相移
被相移候事
被相究候事
被相立
被相立候付
被相立義ニ付
被相糺候事
被相行候事
被相調候
被相調子候段
被相請候付
被相越事
被相越候付
被相達候
被相達候段
被相達越候
被相雇候
被相雇候事
被相願
被相願候
被相願候事
被罷出事
被罷出候様
被罷越候付
被蒙仰候付
被越被遊事
被返下候事
被返下候所
被返下候様
被返下度
被進
被進之事
被進事
被進物之事
被進物事
被進物有之
被遊
被遊事
被遊候
被遊候事
被遣候訳事
被遣越候事
見へ候段
触之事
触達之事
計
計之事
誰
諸色
越
趣
趣ニて
跡之義ハ
迄
迄之事
近々
通
通之事
進物之事
達之事
達出之事
達帳之事
違仕候処
遣
重て
重ニ
銘々
附達出之事
難被相叶事
難量由
預済願事
領
願之事
願之通
願済之事
願済事
首尾克
（ママ）
＊
