なべしま
養父郡原古賀村
養父郡坂口村
養父郡大島村
養父郡江口村
養父郡江島村
香焼
香焼詰
香田村
馬場野村
馬責馬場
駄市川原宿
駄市川原村
駄賃村
駄賃町
駅ヶ里
高太郎村
高尾
高尾宿
高尾村
高岸村
高平村
高平西分村
高木宿
高木新村
高木村
高木町
高木町裏
高柳村
高柳町
高田村
高町村
鬼丸
鰡江村
鰡江津
鳥屋宿
鳥羽院山
鶴村
鷹師
鷹師小路
鹿子村
鹿子舟津
鹿子船津
鹿島
鹿島浜
鹿島濵
鹿島皿町
鹿島野込
鹿江村
鹿路山
麦新ヶ江
麦新ヶ江村
黒井村
黒土原村
黒津村
龍泰寺
龍王村
