亜,あ,次位、次ぐ。亜相、亜将は大納言・近衛中少将を指す
書立,かきたて,こまかに一つ書きした文書・個条書き・目録・調査報告書
書生,かきなし,書記役・筆写生
有限,かぎりある,一定の・定まった・決まった
革運,かくうん,戊辰にあたる年→三革
恪勤,かくご,精勤・奉公・精勤勇武の侍
恪護,かくご,拘え守る・所有する
脚力,かくりき,使者
獲麟,かくりん,物事の終末
掛毛畏支,かけまくもかしこき,言葉にかけるのも恐れ多い
懸廻,かけまわる,奔走する
懸物,かけもの,勝負事にかける品
過差,かさ,贅沢
可祝,かしく,かしこの転・書状の後付け
下若,かじゃく,酒
過所,かしょ,関所通行の手形
家乗,かじょう,一家の記録・日記
過状,かじょう,詫び状
隷状,かじょう,官位を望んだり、訴訟を起こすときの嘆願書・陳情書
被物,かずけもの,引出物
霞,かすみ,山伏の勢力範囲
課責,かせき,強制的に取り立てること
父母,かぞいろ,ちちはは
緩怠,かた,務を怠ること・横着
掛塔,かた,禅寺に修行のため編入される事
片荒,かたあらし,田畠を一年交替に耕作する事
過怠,かたい,罪科を償うために金品を出したり労役に服したりすること
傾申,かたむけもうす,非難する・反対する
片善,かたしきとき,斎の忌詞
且･･･且,かつうは･･･かつうは,一方では、･･･また一方では
且,かつがつ,まあまあ・ともかく・せめて
合点,がってん･がてん,和歌などに批点をつける事・承諾
岸破,かっぱ,倒れるときの副詞
加納,かのう,荘園で本免以外に耕作した公田
庚申,かのえさる,庚申待ちの略
加輩,かはい,扶持
甲,かぶと,侍身分の武士
壁書,かべがき,壁面に書いたり掲書した法令や掟
苛法,かほう,無慈悲な法
構,かまい,関係する・世話・故障・放免する
構,かまえ,邸宅・仕度・こしらえ
髪長,かみなが,僧の忌詞
荷用,かよい,宮仕え・配膳
仮初,かりそめ
雁の使,かりのつかい,てがみ
肆,かるがゆえに,かくあるが故に・数字の四
左右,かれこれ,とやかく・おおよそ
故是,かれこれ,とやかく・おおよそ
云彼云是,かれといいこれといい,いつも・どれも
川手,かわて,川で徴収する一種の関料
川成,かわなり,畑が川となった土地
瓦葺,かわらぶき,寺の忌詞
勘過,かんか,検べて通すこと
元三,がんさん,元日(年･月･日が一である日)・正月元～三日
勘事,かんじ,→勘当
貫首,かんじゅ,蔵人頭の唐名・貫主
勘収,かんしゅう,調べて没収すること
閑所,かんじょ,便所
感状,かんじょう,武将が戦功を賞でて与える文書
管城子,かんじょうし,筆の異名
眼代,がんだい,代理の者・目代
堪能,かんのう,その道に精通し、優れた才能を持っていること
勘発,かんぼつ,叱責
堪返上,かんぺんじょう,来書の字句に合点などして、行間に返事を書いて返す書状
官物,かんもつ,上納物
勘文,かんもん,君主のなどの質問にその道の専門家が勘えて答申する文書
歓楽,かんらく,病気の忌詞
勘落,かんらく,没収・横領
機相,きあい･きそう,気合に同じ・気分・病気
消旦,きえがて,きえそめる・消えにくい
季夏,きか,陰暦六月
聞道,きくならく,きくところによると
亀鏡,きけい,証拠・亀鑑とも
聞食,きこしめす,聞くの敬語
鬼籠,きごむ,いきごむこと
来方,きしかた,過ぎ去った時・方
北政所,きたのまんどころ,摂政関白の妻
急度,きっと,きっと・必ず
吉書,きっしょ,改元･年始･譲位･代替などに奏聞する政治上の文書 武家で政始･代始などにはじめてだす政務書
稠敷,きびしく,厳重に
規模,きぼ,規範・格別の誉れ
花車,きゃしゃ,姿のほっそりして上品なこと・風流・華奢
給主,きゅうしゅ,所領を給せられた人・領主
給人,きゅうじん,代官
給人,きゅうにん,扶持人
給分,きゅうぶん,給与する高・給料
恐悦,きょうえつ,かしこまりよろこぶこと
向後,きょうこう,これからのち
頃刻,きょうこく,しばらく
景迹,きょうざく,経歴・行状・行跡
警策,きょうざく,詩文や物事に優れていること
矯飾,きょうしょく,いつわり・かざること
京銭,きょうせん,永楽銭以外の粗悪な銭
行粧,ぎょうそう,装いをすること
向背,きょうはい,裏と表と・むかいつくことと背くこと
競望,きょうぼう,しきりにのぞむ・他人と競争して望む事
交名,きょうみょう,人名を列記したもの
棘路,きょくろ,納言・公卿のこと
無曲,きょくなし,あじきない
居諸,きょしょ,日居月諸の略・月日のこと
麗爾,きらびやか,はなやかで美しいさま
器量,きりょう,物の用に堪えるべき才能
勤空,きんくう,書状の書止の詞・余白を残し、謹んで批正を乞う意味
金商,きんしょう,秋の異名
悔返,くいかえし,一旦与えた物・所領を取り返すこと
胸臆,くおく,あいまいな・あて推量
公界,くがい,表向き・世間
公験,くげん,土地の売買などにつき、その所有権を公認した国司の文書
供御,くご,飯の御所言葉
九献,くこん,酒の御所言葉
菌,くさひら,きのこの類の称・獣肉の忌詞
公事,くじ,課役・租税・訴訟事件・儀式
拘惜,くしゃく,庇護すること
具書,ぐしょ,訴状に副えて出す証拠書類
公請,くじょう,朝廷から法会または講論に招請すること・または人
曲事,くせごと,罪科・処分
如件,くだんのごとし,件は条で、条々の如しの意味・下文等の書止めの言葉
甘,くつろぎ,寛ぎ・うちとける
口入,くにゅう,意見を述べる・紹介者・仲介者
公人,くにん,公の禄を食する者・政所などの寄人・下部・禁中の地下の小官人の称
口能,くのう,とりもち・斡旋
賦,くばり,手配・てくばり・訴状を整えて分配する
公平,ぐひょう,収入
口分,くぶん,人数に割り当てること
桑門,くわのかど,出家・僧侶
薫風,くんぷう,陰暦五月の異称
経営,けいえい,饗応接待すること・計画すること
掲焉,けいえん,いやちこ・著しい・明か
計会,けいかい,多忙・困窮・やりくり
挂冠,けいかん,官を辞すこと
迎寒,げいかん,陰暦八月の異称
競望,けいもう,しきりに望む・他人と競争して望む→きょうぼう
経略,けいりゃく,うまく計らうこと・謀計
下行,げぎょう,下してやること・支払い
現形,げぎょう,蜂起・出軍・挙兵
見参,けざん,節会などの出席者名を注して、主人の目にかける事・けんざん
候気色,けしきにこうす,機嫌を伺う
懈怠,けたい,おこたること
外題,げだい,標題・申文や解状の初めや奧に書き付けて、その裁断･認証のしるしとしたもの
結解,けちげ,決算・清算・勘定
結句,けっく,却って
結構,けっこう,計画・用意・見事
闕所,けっしょ,領主のない地所・地所没収の刑
解文,げぶみ,身分の下の者から上の者へ奉る書
検見,けみ,田畑の作柄をしらべて年貢の高を定めること
毛見,けみ,田畑の作柄をしらべて年貢の高を定めること
下用,げよう,下附・下がかった物事に用いること
仮令,けりょう,たとえ
玄,げん,ながつき・九月
元英,げんえい,冬季の称
玄英,げんえい,陰暦十月の称
験気,げんき,しるし・ききめ
権宜,けんぎ,仮の計らい・便宜の処置
兼日,けんじつ,ひごろ・かねてから
券契,けんけい,手形・割符・立荘を保証する文書
玄月,げんげつ,陰暦九月の称
見在,げんざい,現在
顕然,けんぜん,はっきりしている・著しくあからさま
検断,けんだん,刑事上の処罰
還補,げんぽ,もとの官職に復た補すること
権門,けんもん,高官の勢力のある
立券文,けんもんをたつ,証文をつくること
後院,ごいん,譲位後の御所
甲乙人,こうおつにん,誰彼・雑人
向顔,こうがん,対面・面会
光儀,こうぎ,入来
公儀,こうぎ,幕府
合期,ごうご,心にかなう
黄紙,こうし,経巻の忌詞
勘事,こうじ,勘当・拷問
高直,こうじき,値段が高いこと
定考,こうじょう,上皇と同じ発音になるので逆さ読み。八月十一日。 　六位以下の官人の成績を考定する
口状,こうじょう,口上・陳述記録
荒説,こうせつ,雑説・とりとものない噂
嗷訴,ごうそ,多数の人が徒党を組んで公に訴えること
降人,こうにん,降参した人
口納,こうのう,くちぶり
口能,こうのう,くちぶり
行能,こうのう,品行と才能
孔方兄,こうほうひん,銭のこと
