中村新右衛門預御手舸子,,,,名詞,普通名詞,一般,*,*,*,,,中村新右衛門預御手舸子,,中村新右衛門預御手舸子,,和,*,*,*,*,OGI_ROLE
中村武一郎預役者,,,,名詞,普通名詞,一般,*,*,*,,,中村武一郎預役者,,中村武一郎預役者,,和,*,*,*,*,OGI_ROLE
中林四郎左衛門組,,,,名詞,普通名詞,一般,*,*,*,,,中林四郎左衛門組,,中林四郎左衛門組,,和,*,*,*,*,OGI_ROLE
中老,,,,名詞,普通名詞,一般,*,*,*,,,中老,,中老,,和,*,*,*,*,OGI_ROLE
中野内匠介触内中野又右衛門組,,,,名詞,普通名詞,一般,*,*,*,,,中野内匠介触内中野又右衛門組,,中野内匠介触内中野又右衛門組,,和,*,*,*,*,OGI_ROLE
中野内匠助組,,,,名詞,普通名詞,一般,*,*,*,,,中野内匠助組,,中野内匠助組,,和,*,*,*,*,OGI_ROLE
中野内匠助触内中野又右衛門組,,,,名詞,普通名詞,一般,*,*,*,,,中野内匠助触内中野又右衛門組,,中野内匠助触内中野又右衛門組,,和,*,*,*,*,OGI_ROLE
中野内匠助触内中野右衛門組,,,,名詞,普通名詞,一般,*,*,*,,,中野内匠助触内中野右衛門組,,中野内匠助触内中野右衛門組,,和,*,*,*,*,OGI_ROLE
中野将監組,,,,名詞,普通名詞,一般,*,*,*,,,中野将監組,,中野将監組,,和,*,*,*,*,OGI_ROLE
中野将監組内馬渡七右衛門与,,,,名詞,普通名詞,一般,*,*,*,,,中野将監組内馬渡七右衛門与,,中野将監組内馬渡七右衛門与,,和,*,*,*,*,OGI_ROLE
中野将監組内馬渡七右衛門与新鑓,,,,名詞,普通名詞,一般,*,*,*,,,中野将監組内馬渡七右衛門与新鑓,,中野将監組内馬渡七右衛門与新鑓,,和,*,*,*,*,OGI_ROLE
中野將監組,,,,名詞,普通名詞,一般,*,*,*,,,中野將監組,,中野將監組,,和,*,*,*,*,OGI_ROLE
中野数馬介組,,,,名詞,普通名詞,一般,*,*,*,,,中野数馬介組,,中野数馬介組,,和,*,*,*,*,OGI_ROLE
中野数馬介触内小川市左衛門組,,,,名詞,普通名詞,一般,*,*,*,,,中野数馬介触内小川市左衛門組,,中野数馬介触内小川市左衛門組,,和,*,*,*,*,OGI_ROLE
中野数馬佐組,,,,名詞,普通名詞,一般,*,*,*,,,中野数馬佐組,,中野数馬佐組,,和,*,*,*,*,OGI_ROLE
中野数馬組,,,,名詞,普通名詞,一般,*,*,*,,,中野数馬組,,中野数馬組,,和,*,*,*,*,OGI_ROLE
中野数馬組内太田弥次郎組,,,,名詞,普通名詞,一般,*,*,*,,,中野数馬組内太田弥次郎組,,中野数馬組内太田弥次郎組,,和,*,*,*,*,OGI_ROLE
中野数馬組内太田田弥次郎組,,,,名詞,普通名詞,一般,*,*,*,,,中野数馬組内太田田弥次郎組,,中野数馬組内太田田弥次郎組,,和,*,*,*,*,OGI_ROLE
中野数馬組内松崎杢右衛門組,,,,名詞,普通名詞,一般,*,*,*,,,中野数馬組内松崎杢右衛門組,,中野数馬組内松崎杢右衛門組,,和,*,*,*,*,OGI_ROLE
中野数馬組内松崎直右衛門組,,,,名詞,普通名詞,一般,*,*,*,,,中野数馬組内松崎直右衛門組,,中野数馬組内松崎直右衛門組,,和,*,*,*,*,OGI_ROLE
中野数馬組内石川佐次兵衛組,,,,名詞,普通名詞,一般,*,*,*,,,中野数馬組内石川佐次兵衛組,,中野数馬組内石川佐次兵衛組,,和,*,*,*,*,OGI_ROLE
中野数馬組内石川佐次兵衛預組,,,,名詞,普通名詞,一般,*,*,*,,,中野数馬組内石川佐次兵衛預組,,中野数馬組内石川佐次兵衛預組,,和,*,*,*,*,OGI_ROLE
中野数馬組内石川左平次組,,,,名詞,普通名詞,一般,*,*,*,,,中野数馬組内石川左平次組,,中野数馬組内石川左平次組,,和,*,*,*,*,OGI_ROLE
中野数馬組内石川左次兵衛組,,,,名詞,普通名詞,一般,*,*,*,,,中野数馬組内石川左次兵衛組,,中野数馬組内石川左次兵衛組,,和,*,*,*,*,OGI_ROLE
中野数馬組内石川左次兵衛預組,,,,名詞,普通名詞,一般,*,*,*,,,中野数馬組内石川左次兵衛預組,,中野数馬組内石川左次兵衛預組,,和,*,*,*,*,OGI_ROLE
中野数馬組内石川弥次兵衛組,,,,名詞,普通名詞,一般,*,*,*,,,中野数馬組内石川弥次兵衛組,,中野数馬組内石川弥次兵衛組,,和,*,*,*,*,OGI_ROLE
中野数馬組内石川弥次兵衛預組,,,,名詞,普通名詞,一般,*,*,*,,,中野数馬組内石川弥次兵衛預組,,中野数馬組内石川弥次兵衛預組,,和,*,*,*,*,OGI_ROLE
中野数馬組内石川清九郎与,,,,名詞,普通名詞,一般,*,*,*,,,中野数馬組内石川清九郎与,,中野数馬組内石川清九郎与,,和,*,*,*,*,OGI_ROLE
中野数馬組内石川清次与,,,,名詞,普通名詞,一般,*,*,*,,,中野数馬組内石川清次与,,中野数馬組内石川清次与,,和,*,*,*,*,OGI_ROLE
中野数馬組太田弥次郎組,,,,名詞,普通名詞,一般,*,*,*,,,中野数馬組太田弥次郎組,,中野数馬組太田弥次郎組,,和,*,*,*,*,OGI_ROLE
中野数馬触内小川市左衛門組,,,,名詞,普通名詞,一般,*,*,*,,,中野数馬触内小川市左衛門組,,中野数馬触内小川市左衛門組,,和,*,*,*,*,OGI_ROLE
中馬究役,,,,名詞,普通名詞,一般,*,*,*,,,中馬究役,,中馬究役,,和,*,*,*,*,OGI_ROLE
丹羽蔵人組,,,,名詞,普通名詞,一般,*,*,*,,,丹羽蔵人組,,丹羽蔵人組,,和,*,*,*,*,OGI_ROLE
丹羽蔵人組内西三郎兵衛組,,,,名詞,普通名詞,一般,*,*,*,,,丹羽蔵人組内西三郎兵衛組,,丹羽蔵人組内西三郎兵衛組,,和,*,*,*,*,OGI_ROLE
丹羽蔵人組西三郎兵衛組,,,,名詞,普通名詞,一般,*,*,*,,,丹羽蔵人組西三郎兵衛組,,丹羽蔵人組西三郎兵衛組,,和,*,*,*,*,OGI_ROLE
主,,,,名詞,普通名詞,一般,*,*,*,,,主,,主,,和,*,*,*,*,OGI_ROLE
主従,,,,名詞,普通名詞,一般,*,*,*,,,主従,,主従,,和,*,*,*,*,OGI_ROLE
主従2人左官棟梁,,,,名詞,普通名詞,一般,*,*,*,,,主従2人左官棟梁,,主従2人左官棟梁,,和,*,*,*,*,OGI_ROLE
主従2人御弓師,,,,名詞,普通名詞,一般,*,*,*,,,主従2人御弓師,,主従2人御弓師,,和,*,*,*,*,OGI_ROLE
主従2人御柄巻師,,,,名詞,普通名詞,一般,*,*,*,,,主従2人御柄巻師,,主従2人御柄巻師,,和,*,*,*,*,OGI_ROLE
主従2人御矢師,,,,名詞,普通名詞,一般,*,*,*,,,主従2人御矢師,,主従2人御矢師,,和,*,*,*,*,OGI_ROLE
主従2人御金具師,,,,名詞,普通名詞,一般,*,*,*,,,主従2人御金具師,,主従2人御金具師,,和,*,*,*,*,OGI_ROLE
主従2人御鉄炮台師,,,,名詞,普通名詞,一般,*,*,*,,,主従2人御鉄炮台師,,主従2人御鉄炮台師,,和,*,*,*,*,OGI_ROLE
主従2人御鉄炮師,,,,名詞,普通名詞,一般,*,*,*,,,主従2人御鉄炮師,,主従2人御鉄炮師,,和,*,*,*,*,OGI_ROLE
主従2人御鋳物師,,,,名詞,普通名詞,一般,*,*,*,,,主従2人御鋳物師,,主従2人御鋳物師,,和,*,*,*,*,OGI_ROLE
主従2人御鑓師,,,,名詞,普通名詞,一般,*,*,*,,,主従2人御鑓師,,主従2人御鑓師,,和,*,*,*,*,OGI_ROLE
主従2人瓦師,,,,名詞,普通名詞,一般,*,*,*,,,主従2人瓦師,,主従2人瓦師,,和,*,*,*,*,OGI_ROLE
主従2人番匠棟梁,,,,名詞,普通名詞,一般,*,*,*,,,主従2人番匠棟梁,,主従2人番匠棟梁,,和,*,*,*,*,OGI_ROLE
主従2人畳方棟梁,,,,名詞,普通名詞,一般,*,*,*,,,主従2人畳方棟梁,,主従2人畳方棟梁,,和,*,*,*,*,OGI_ROLE
主従3人御刀鍛冶,,,,名詞,普通名詞,一般,*,*,*,,,主従3人御刀鍛冶,,主従3人御刀鍛冶,,和,*,*,*,*,OGI_ROLE
主従3人御塗師,,,,名詞,普通名詞,一般,*,*,*,,,主従3人御塗師,,主従3人御塗師,,和,*,*,*,*,OGI_ROLE
主従3人御硎師,,,,名詞,普通名詞,一般,*,*,*,,,主従3人御硎師,,主従3人御硎師,,和,*,*,*,*,OGI_ROLE
主従3人御表具師,,,,名詞,普通名詞,一般,*,*,*,,,主従3人御表具師,,主従3人御表具師,,和,*,*,*,*,OGI_ROLE
主従3人御金具師,,,,名詞,普通名詞,一般,*,*,*,,,主従3人御金具師,,主従3人御金具師,,和,*,*,*,*,OGI_ROLE
主従3人御鉄炮師,,,,名詞,普通名詞,一般,*,*,*,,,主従3人御鉄炮師,,主従3人御鉄炮師,,和,*,*,*,*,OGI_ROLE
主従3人御鎧師,,,,名詞,普通名詞,一般,*,*,*,,,主従3人御鎧師,,主従3人御鎧師,,和,*,*,*,*,OGI_ROLE
主従3人御鞘師,,,,名詞,普通名詞,一般,*,*,*,,,主従3人御鞘師,,主従3人御鞘師,,和,*,*,*,*,OGI_ROLE
主従3人石工棟梁,,,,名詞,普通名詞,一般,*,*,*,,,主従3人石工棟梁,,主従3人石工棟梁,,和,*,*,*,*,OGI_ROLE
