■分村
河内野村
河原小路
河越村
治馬義西村
泉鏡坊
浄円寺
浅間山
浜
浜中村
浜天満宮
浜崎
浜御茶屋
浜御面
浦ノ崎
浦崎
浦崎御番添町
浦野山
浪木屋敷
深川ケ里村
深川ヶ里
深川ヶ里四ヶ村
深川居宅
深町
深町ケ里村
深町刈
添町
清水
清水山
済候段町
渋木村
渡場
湯原川
満江村
滞留岡町
濃洲石津郡安田村
濱中ケ里
濱中ケ里村
濱崎
濱崎村
濱重
瀧河内村
瀬川村
烏帽子岳
烽火山
無津呂
無津呂両社
無津呂村
熊乃川
熊野村
牛尾
牛尾山
牛尾村
牛津
牛津両町
牛津口
牛津多町
牛津大橋
牛津新町
牛津本町
牛津村
牛津江
牛津江筋
牛津町
牛王ケ里村
牛込筋
牟田村
牟田邊村
狩山
狩犬六ヶ村
狼原村
猟御免之山
玄関前白洲
玉毫寺橋
玉豪寺
玉豪寺橋
瓊浦
瓦河内村
生立ケ里
生立ケ里村
産松山
田中村
田代駅
田尻家
田島
田頭
甲州日野町
甲柳ケ里村
町横町
畑瀬山村
畑瀬村
畑田小路
畑田村
畠田ケ里村
畠田堤床
畢而村
白山
白山八幡
白山八幡宮
白石山
白紙ケ里村
皆木
皆木山
皆木村
目付北村
相州小田原
相州箱根駅
相浦村
真ノ谷
真照庵
石井樋
石原村
石木ケ里村
石胎村
石部駅
石鉢村
砂田ケ里村
砥川新村
砥川村
砥川町
砥川谷村
破佐間水道
破金村
社々
社ケ里村
祇園川原さじき
祇園川筋
祗園河原さじき
神埼駅
神奈川
神崎
神崎山
神田橋
祥光
祥光山
禅林庵
福岡
秋月
称光山
稲荷不動
稲荷社
立山
立岩
立岩川
立物ケ里村
立物刈
立石ケ里
立石ケ里村
立野村
竹曲山
筑前
筑前武蔵
筑後三池
箱館
篠山
納戸
納所村
給人前
緑ケ里村
締場
練ケ里
練ケ里村
織嶋ケ里村
織嶋刈
羽佐間村
肥前国
肥州
肥後
能方
能登路
自江府町
致人堂室蔵院
舎人ケ里村
般若寺
船上山
船中
船頭北村
芦かり
芦刈
芦刈中溝村
芦刈川越村
芦刈村
芦刈水道
芦刈筋
芦刈長田村
芦原
芦田ケ里村
芦苅村
芸州玖波
芸州玖波村
苣木村
若宮山
若松之沖
英彦山
茅野村
草葉村
荒谷口
菅井
萩
落合村
蓮寺村
蓮池
薪山
薬園
薮文村
藤川内村
藤折彦嶋
藤折村
藤瀬山村
藤織
藤織村
藤織権現山
藤野河内村
虎之御門
蛭子町
表溜池
袴田ケ里村
袴田川原
裏山
裏納所村
西下古賀村
西丸
西丸御家
西原村
西小路
西山村
西岡
西岡両役所
西川
西川筋
西御屋敷
西村
西目
西礼寺
西芦刈
西谷村
西道免村
要津庵
見越山
評定所
評定所下町
請山
請役所
諌山
諌早
諌早御陣場
諫早
護摩堂
讃州
豊州
赤司
赤司ケ里村
赤司刈
赤司村
趣水町
足軽仲村
足軽本村
足軽西村
轟木
辻山城
迄凡三町
迄奥村
道免村
道引今村
道薗村
道邊ケ里
道邊ケ里村
那古村
郡払朝日町
郡江津村
郷内村
郷町
里
里目
野口村
野村
野田勝十
金剛天神
金山堀
金比羅正王宮
金田ケ里村
金田刈
釜原山村
鉢村
銭かめ平
銭かめ平凡三町
鎌原はし村
鎌原村
鎌原金山
鎖口
長崎
長崎湊
長崎町
長崎竹田道
長州
長田村
長神田ケ里村
門司浦
関所
防州
防州上開
阿部川
隅田川
障子ヶ平山
雪伏り里
雪伏ヶ里
靱負殿水町
須古屋敷
領蓮寺村
頭秋山
願岡町
願西村
飛田ケ里村
飫尾
飫肥
館下
馬見ケ里
駒ヶ左古谷
駿州
高原ケ里村
高原ヶ里
高原村
高尾丸屋形
高島
高嶋
高嶋御番所
高柳ケ里村
高田ケ里村
高田刈
高田村
高畑村
高見ケ里村
高野山
鬼丸小路
魚見岳
鯖町
鷺原
鷺原屋敷
鷺原御寺地
鷺原村
鷺山
鷺山禅堂
鹿島
鹿嶋
麻那古山村
麻那古村
黄檗山
黒原村
黒岩出山
龍子山
＊荊山
